	info	location	tel	title
209	"
						10:30 – 20:30 Mon – Sun and Public Holidays 
						"	"						"	http://ifc.com.hk/mall/shop/lenscrafters/	CHAUMET
210	"
						10:00 – 21:00 Mon- Sun and Public Holidays
						"	"
							L2 / Shop 2046 – 47"	tel:2301 3398	Chopard
211	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/life-digital/	Chow Sang Sang
212	"
						11:00 – 21:00 Mon – Sun & Public Holidays
						"	"
							L1 / Shop 1098B"	tel:2878 8038	city’super
213	"
						10:00 – 21:00 Mon- Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/linda-farrow/	Clarins
214	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1088A"	http://ifc.com.hk/mall/shop/links-of-london/	Claudie Pierlot
215	"
						10:00 – 21:00 Mon – Sun and public holidays
						"	"						"	tel:2755 5008	Clé de Peau Beauté
216	"
						11:00 – 20:30 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1013"	http://ifc.com.hk/mall/shop/liquid-gold/	Club Monaco
217	"
						10:00 – 20:00 Mon – Sun
						"	"						"	tel:2234 7198	COACH
218	"
						10:00 – 20:30 Mon –  Sat"	"
							L1 / Shop 1018C"	http://ifc.com.hk/mall/shop/loccitane/	COS
219	"
10:30 – 20:30 Sun and Public Holidays
						"	"						"	tel:2970 4618	DIESEL
220	"
						10:00 – 20:30 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1052B"	http://ifc.com.hk/mall/shop/loewe/	Dior Beauty 
221	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2736 7328	diptyque
222	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
													"	http://ifc.com.hk/mall/shop/longchamp-pop-up-store/	Disc Plus
223	"
						10:00 – 21:00 Mon – Sun and Public Holidays 
						"	"
							L2 / Shop 2004"	tel:2234 7398	ECCO
224	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/loro-piana/	Elegant Watch & Jewellery
225	"
						Mon to Sun and Public Holidays: 10:00 – 20:30
						"	"
							L3 / Shop 3088"	tel:2997 7170	Emilio Pucci
226	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/lululemon-athletica/	Enoteca
227	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1092"	tel:2967 6981	Ermenegildo Zegna
228	"
						10:30 – 20:00 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/m-a-c/	Estée Lauder
229	"
11:00 – 20:00 Sun and Public Holidays
						"	"
							L1 / Shop 1053A"	tel:2501 5821	ETRO
230	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/mabelle/	FALKE (Coming soon)
231	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2077 – 79"	tel:2295 3028	Fedeli
232	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/madia-1018c/	flannel flowers
233	"
						10:00 – 21:00 Mon – Sun and Public holidays
						"	"
							L2 / Shop 2035"	tel:2234 7396	FRED
234	"
						10:00 – 21:00 Mon –Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/maje/	fresh (Coming soon)
235	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2067 – 69"	http://ifc.com.hk/mall/shop/malin-goetz-coming-soon/	FREYWILLE
236	"
						10:00 – 21:00 Mon – Fri, Sun and Public Holidays"	"						"	tel:2523 9672	FURLA
237	"
10:00 – 20:00  Sat
						"	"
							L1 / Shop 1025C"	http://ifc.com.hk/mall/shop/mannings-plus/	GEOX
238	"
						10:00 – 21:00 Mon – Fri, Sun and Public Holidays"	"						"	tel:2882 9088	Georg Jensen
239	"
10:00 – 20:00  Sat
						"	"
							L1 / Shop 1005B&C"	http://ifc.com.hk/mall/shop/marie-france-van-damme/	Giorgio Armani Beauty
240	"
						10:30 – 21:00 Mon – Sun & Public Holidays
						"	"						"	tel:2805 0588	Giuseppe Zanotti
241	"
						10:00 – 19:30 Mon – Saturday"	"
							L2 / Shop 2036"	http://ifc.com.hk/mall/shop/massimo-dutti/	Givenchy
242	"
10:30 – 19:00 Sunday and Public Holidays
						"	"						"	tel:2722 9616	Glasstique
243	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3028"	http://ifc.com.hk/mall/shop/maxco/	Golden Goose Deluxe Brand®
244	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2722 9606	GUCCI (coming soon)
245	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1058A"	http://ifc.com.hk/mall/shop/maxmara/	Haglofs
246	"
						10:00 – 21:00 Mon – Thu"	"						"	tel:2234 7189	HUBLOT
247	"
10:00 – 21:30 Fri – Sun and Public Holidays
						"	"
							L1 / Shop 1003B"	http://ifc.com.hk/mall/shop/mikimoto/	HUGO BOSS
248	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2524 7779	IWC Schaffhausen
249	"
						10:00 – 21:00 Monday – Sunday and Public Holidays
						"	"
							L1 / Shop 1005A"	http://ifc.com.hk/mall/shop/moncler/	J.CREW
250	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:3568 6628	Jaeger-LeCoultre
251	"
						10:30 – 21:00 Mon – Sun and Public Holidays 
						"	"
							L1 / Shop 1058B"	http://ifc.com.hk/mall/shop/monica-vinader/	John Masters Organics
252	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7225 	kate spade new york
253	"
						10:00 – 21:00 Mon – Thur, Sun and Public Holidays"	"
							L1 / Shop 1006-07"	http://ifc.com.hk/mall/shop/montblanc/	KENZO
254	"
10:00 – 21:30 Fri – Sat
						"	"						"	tel:2638 5062	Kiehl’s
255	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3025A"	http://ifc.com.hk/mall/shop/mr-mrs-italy/	KIKO MILANO
256	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:23669322	KINJI
257	"
						10:00 – 21:30 Mon – Sun and public holidays
						"	"
							L2 / Shop 2034"	http://ifc.com.hk/mall/shop/my-nail-nail/	Kiton
258	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:800 968 821	la prairie
259	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2039"	http://ifc.com.hk/mall/shop/nespresso/	LALIQUE
260	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:8200 3033 	Lane Crawford
261	"
						10:30-21:00 Mon-Sun and Public Holidays
						"	"
							L3 / Shop 3029 – 30"	http://ifc.com.hk/mall/shop/officine-panerai/	Lane Crawford Home
262	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2518 9880	LANVIN-Ladies
263	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3082B"	http://ifc.com.hk/mall/shop/omega/	Laurèl
264	"
						10:00-20:00 Mon-Sun & Public Holidays
						"	"						"	tel:2388 6268	Le Labo
265	"
												"	"
							L2 / Shop 2059"	http://ifc.com.hk/mall/shop/palace-ifc/	LEICA
266	"
						10:00 – 20:00 Mon – Sun and Public Holiday
						"	"						"	tel:2321 9831	LensCrafters
267	"
						9:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3027"	http://ifc.com.hk/mall/shop/pandora/	Life Digital-Gadgets
268	"
						10:00 – 20:00 Mon-Sun and Public Holidays
						"	"						"	tel:2359 3001	Linda Farrow
269	"
						9:30 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2042"	http://ifc.com.hk/mall/shop/penhaligons-london/	Links of London
270	"
						10:00 – 22:00 Mon-Sun & Public Holidays
						"	"						"	tel:2772 1893	LIQUID GOLD
271	"
						10:00 – 21:30 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3082A"	http://ifc.com.hk/mall/shop/perrin-paris/	L’OCCITANE
272	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7283	Loewe
273	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2057"	http://ifc.com.hk/mall/shop/pomellato/	Longchamp Pop-up Store
274	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2526 4488	LORO PIANA
275	"
						10:00-20:00 Mon-Sun and Public Holidays
						"	"
							L2 / Shop 2013"	http://ifc.com.hk/mall/shop/private-i-salon/	lululemon athletica
276	"
						10:30 – 20:00 Sun – Thu and Public Holidays"	"						"	tel:8129 8000	M.A.C
277	"
10:30 – 20:30 Fri – Sat
						"	"
							L3 / Shop 3078A"	http://ifc.com.hk/mall/shop/pure-fitness/	MaBelle
278	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	tel:2389 8863	Madia
279	"
						10:00 – 20:00 Mon – Sun and Public Holidays 
						"	"
							L3 / Shop 3091"	http://ifc.com.hk/mall/shop/qeelin/	Maje
280	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2118 2288	(Malin + Goetz) (Coming soon)
281	"
						11:00-21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3022B"	http://ifc.com.hk/mall/shop/rimowa/	Mannings Plus
282	"
						10:00-20:00 Mon-Sun and Public Holidays
						"	"						"	tel:2234 7368	Marie France Van Damme
283	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop LA4"	http://ifc.com.hk/mall/shop/rolex/	Massimo Dutti
284	"
						9:30 – 20:15 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7880	MAX&Co.
285	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1087"	http://ifc.com.hk/mall/shop/rue-madame/	Max Mara
286	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7388 	MIKIMOTO
287	"
						10:00-21:00 Mon – Sun and Public holidays
						"	"
							L1 / Shop 1091A"	http://ifc.com.hk/mall/shop/salvatore-ferragamo-2/	MONCLER
288	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2295 3622	MONICA VINADER
289	"
						10:30-20:00 Mon-Sun and Public holiday
						"	"
							L1 / Shop 1021"	http://ifc.com.hk/mall/shop/samsonite/	Montblanc
290	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7851	Mr & Mrs Italy
291	"
						10:00 – 22:00 Mon-Sun and Public Holidays
						"	"
							L3 / Shop 3076"	http://ifc.com.hk/mall/shop/sandro/	my NAIL NAIL
292	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	tel:2388 6823	Nespresso
293	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1095"	http://ifc.com.hk/mall/shop/scotch-soda/	OFFICINE PANERAI
294	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2543 6331	OMEGA
295	"
						10:30 – 19:30 Mon – FRI"	"
							L1 / Shop 1017"	http://ifc.com.hk/mall/shop/seed-heritage/	PALACE ifc
296	"
11:00 – 19:30 Sun and Public Holidays
						"	"						"	tel:5992 9025	PANDORA
297	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2024"	http://ifc.com.hk/mall/shop/sergio-rossi/	Penhaligon’s London
298	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2234 7628	Perrin Paris
299	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2033"	http://ifc.com.hk/mall/shop/shiseido/	Pomellato
300	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/sk-ii/	PRIVATE i SALON
301	"
						10:30 – 21:00 Mon-Sun and Public Holidays
						"	"
							L1 / Shop 1052A"	tel:2295 0506	Pure Fitness
302	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/smartone/	Qeelin
303	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2058"	tel:2408 8676	RIMOWA(coming soon)
304	"
						10:00 – 20:30 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/stuart-weitzman/	Rolex (coming soon)
305	"
10:00 – 20:00 Sun and Public Holidays
						"	"
							L2 / Shop 2048 – 49"	tel:22347717	Rue Madame
306	"
						10:30 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/sunglass-hut/	Salvatore Ferragamo
307	"
						10:00-21:00 Mon-Thurs"	"
							L2 / Shop 2065"	tel:2234 7126	Samsonite
308	"
10:00-20:30 Fri-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/swarovski/	Sandro
309	"
						10:00 – 21:00 Mon-Sun and Public Holidays 
						"	"
							L1 / Shop 1105B"	tel:2295 0200	Scotch & Soda
310	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/tag-heuer/	seed
311	"
						10:30 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2010"	tel:2147 2828	Sergio Rossi
312	"
						10:00 – 21:00 Mon-Sun & Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/tai-pan-row/	SHISEIDO
313	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1010"	tel:3527 3728	SK-II
314	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/theory/	SmarTone
315	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2071"	tel:2234 7163	Stuart Weitzman
316	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/tiffany-co/	Sunglass Hut
317	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2080"	tel:2234 7802	Swarovski
318	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/tom-ford/	TAG Heuer
319	"
												"	"
							L1 / Shop 1037"	tel:2234 7282	Tai Pan Row
320	"
						09:00 – 21:30 Mon – Sat"	"						"	http://ifc.com.hk/mall/shop/tory-burch/	Theory
321	"
10:00 – 21:30 Sun and Public Holidays
						"	"
							L3 / Shop 3090"	tel:2234 7878	Tiffany & Co.
322	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/travelex-worldwide-money/	TOM FORD
323	"
						10:00 – 22:00 Sun – Thurs and Public holidays"	"
							L3 / Shop 3092A"	tel:2790 1912	TORY BURCH
324	"
10:00 – 22:30 Fri – Sat 
						"	"						"	http://ifc.com.hk/mall/shop/tumi/	Travelex worldwide money
325	"
						10:00 – 22:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3015"	tel:2117 0196	TUMI
326	"
						Mon-Sun and Public Holiday : 10am – 8pm
						"	"						"	http://ifc.com.hk/mall/shop/vacheron-constantin/	Vacheron Constantin
327	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3019"	tel:2234 7193	Valentino
328	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/valentino/	Valextra
329	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2063"	tel:2609 5518	VICTORIA’S SECRET Beauty and Accessories
330	"
						10:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/valextra/	Victorinox
331	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1036"	tel:2865 7999	VILEBREQUIN
332	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/victorias-secret-beauty-and-accessories/	Watsons bébé
333	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2012"	tel:2730 1847	Watson’s Wine
334	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/victorinox/	Wellendorff
335	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2089A"	tel:2295 1883	Whistles
336	"
						10:00 – 22:00 Mon – Fri"	"						"	http://ifc.com.hk/mall/shop/vilebrequin/	Wise-Kids Toys
337	"
08:30 – 24:00 Sat"	"
							L1 / Shop 1079"	tel:26705619	WOLFORD
338	"
08:30 – 22:00 Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/watsons-bebe/	YSL Beaute
339	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1065 – 75"	tel:2530 5002	Zara
